이름,연도,나이,출장,선발,이닝,투구,유망주,연차,가중이닝,가중출장,누적이닝,가중투구,선발불펜,큰수술경험,다음연도부상,비고
양현종,2014,26,29,29,171.1,2878,0,8,264.54,56.3,1,2878,0,0,1,
양현종,2015,27,32,31,184.1,3040,0,9,355.97,61.8,1,5054.6,0,0,0,
양현종,2016,28,31,31,200.1,3207,0,10,414.52,67.9,1,6774,0,0,0,
양현종,2017,29,31,31,193.1,3085,0,11,425.22,68.7,1,6849.9,0,0,1,
양현종,2018,30,29,29,184.1,2883,0,12,419.32,66.2,1,6646,0,0,0,
양현종,2019,31,29,29,184.2,2699,0,13,409.62,64.8,1,6259.6,0,0,0,
양현종,2020,32,31,31,172.1,2950,0,14,393.09,65.8,1,6280.8,0,0,0,
윤성환,2014,33,28,28,170.1,2807,0,11,346.24,56.4,1,2807,0,1,0,
윤성환,2015,34,30,30,194,3042,0,12,398.17,63.1,1,5006.9,0,1,1,
윤성환,2016,35,28,28,180,2786,0,13,400.85,63,1,6318.9,0,1,1,
윤성환,2017,36,28,28,174.1,2810,0,14,397.1,62.6,1,6281.2,0,1,0,
윤성환,2018,37,24,24,117.1,2020,0,15,328.97,57.6,1,5380,0,1,0,
윤성환,2019,38,27,27,145.1,2342,0,16,314.12,57.8,1,5161,0,1,0,
윤성환,2020,39,5,5,18.2,331,0,17,178.32,35.9,1,2980.4,0,1,0,
김광현,2014,26,28,28,173.2,3009,0,8,306.9,53.5,1,3009,0,1,1,
김광현,2015,27,30,29,176.2,2895,0,9,363.94,62.1,1,5001.3,0,1,1,
김광현,2016,28,27,21,137,2180,0,10,346.94,62,1,5711,0,1,1,
김광현,2018,30,25,25,136,2146,0,12,204.5,38.5,1,3236,0,1,0,
김광현,2019,31,31,30,190.1,2908,0,13,285.3,48.5,1,4410.2,0,1,0,
유희관,2014,28,30,30,177.1,2992,0,2,278.67,58.7,0,2992,0,0,0,
유희관,2015,29,30,30,189.2,2964,0,3,385.72,71.5,1,5058.4,0,0,0,
유희관,2016,30,30,29,185.2,3052,0,4,406.19,66,1,6622.8,0,0,0,
유희관,2017,31,30,29,188.2,3010,0,5,412.44,66,1,6628.4,0,0,0,
유희관,2018,32,29,28,141,2432,0,6,365.34,65,1,6065,0,0,0,
유희관,2019,33,28,27,166.1,2584,0,7,358.9,63.3,1,5791.4,0,0,0,
유희관,2020,34,27,27,136.1,2373,0,8,322.87,61.1,1,5397.8,0,0,0,
장원준,2014,29,27,27,155,2622,0,11,155,27,1,2622,0,0,0,
장원준,2015,30,30,30,169.2,2942,0,12,277.7,48.9,1,4777.4,0,0,0,
장원준,2016,31,27,27,168,2914,0,13,363.94,61.5,1,6284.4,0,0,0,
장원준,2017,32,29,29,180.1,3006,0,14,382.3,62.9,1,6516.8,0,0,1,
장원준,2018,33,24,16,71.2,1339,0,15,281.27,57.8,1,4900.2,0,0,1,
장원준,2019,34,6,0,2,60,0,16,141.89,37.3,1,2500.3,1,0,1,무릎수술
장원준,2020,35,2,2,5.2,126,0,17,42.2,18.2,1,837.5,0,1,0,
차우찬,2014,27,69,0,82,1467,0,6,208.37,112.1,1,1467,1,0,0,
차우찬,2015,28,31,29,173,3069,0,7,290.95,100.8,1,4095.9,0,0,1,
차우찬,2016,29,24,24,152.1,2681,0,8,314.2,80.2,1,5562.8,0,0,0,
차우찬,2017,30,28,28,175.2,2879,0,9,368.17,60.3,1,6290.2,0,0,1,
차우찬,2018,31,29,29,170,2956,0,10,368.69,60.6,1,6311.8,0,0,1,
차우찬,2019,32,29,28,168.1,2796,0,11,374.7,63.3,1,6304.7,0,1,1,팔꿈치
